condition,capacity,capacity_fraction,mean_exact_retention,mean_same_binding_retention,mean_accuracy,mean_accuracy_given_retained,mean_accuracy_given_absent
oracle_current,4,0.0625,0.125,0.125,0.0,0.0,0.0
oracle_current,12,0.1875,0.125,0.125,0.0,0.0,0.0
oracle_stable,4,0.0625,0.125,0.125,0.0,0.0,0.0
oracle_stable,12,0.1875,0.125,0.125,0.0,0.0,0.0
