condition,chunks,mean_accuracy,std_accuracy,seeds
oracle_current,2,0.925,0.06779341609348949,5
oracle_current,4,0.9140625,0.06743233008450027,5
oracle_current,8,0.8703125,0.07525996611745185,5
oracle_current,16,0.8265625,0.04328717242873459,5
oracle_current,32,0.796875,0.04588804736121379,5
oracle_stable,2,1.0,0.0,5
oracle_stable,4,1.0,0.0,5
oracle_stable,8,1.0,0.0,5
oracle_stable,16,0.9546875,0.013975424859373685,5
oracle_stable,32,0.9,0.03921843874378479,5
